date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:53	266259/266259	---M--	200	added ('OK')	image/jpeg	etag:36990ecb:41013	https://cdn.dominos.co.kr/admin/upload/goods/20200916_8TQijog8.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200916_8TQijog8.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD175M1&dough_gb=)
20:23:53	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:53%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD171M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list1e14.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD171M1&dough_gb=)
20:23:54	282777/282777	---M--	200	added ('OK')	image/jpeg	etag:36990f58:45099	https://cdn.dominos.co.kr/admin/upload/goods/20200916_5SN153v1.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200916_5SN153v1.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD171M1&dough_gb=)
20:23:54	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:53%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD169P1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list55a1.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD169P1&dough_gb=)
20:23:54	296752/296752	---M--	200	added ('OK')	image/jpeg	etag:126af94c:48730	https://cdn.dominos.co.kr/admin/upload/goods/20200309_4B2n58F2.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_4B2n58F2.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD169P1&dough_gb=)
20:23:55	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:54%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD168M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list0648.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD168M1&dough_gb=)
20:23:55	277287/277287	---M--	200	added ('OK')	image/jpeg	etag:126afa18:43b27	https://cdn.dominos.co.kr/admin/upload/goods/20200309_nmVfiWLp.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_nmVfiWLp.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD168M1&dough_gb=)
20:23:55	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:55%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD161M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list2985.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD161M1&dough_gb=)
20:23:56	301612/301612	---M--	200	added ('OK')	image/jpeg	etag:2403e77b:49a2c	https://cdn.dominos.co.kr/admin/upload/goods/20200605_L30bj8rz.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200605_L30bj8rz.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD161M1&dough_gb=)
20:23:56	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:55%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD031M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list8912.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD031M1&dough_gb=)
20:23:56	271482/271482	---M--	200	added ('OK')	image/jpeg	etag:126af886:4247a	https://cdn.dominos.co.kr/admin/upload/goods/20200309_nwnlf8dv.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_nwnlf8dv.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD031M1&dough_gb=)
20:23:57	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:56%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD155M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list0f20.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD155M1&dough_gb=)
20:23:57	274049/274049	---M--	200	added ('OK')	image/jpeg	etag:126af9fd:42e81	https://cdn.dominos.co.kr/admin/upload/goods/20200309_7i4U7Hc7.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_7i4U7Hc7.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD155M1&dough_gb=)
20:23:57	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:57%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD120M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list051e.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD120M1&dough_gb=)
20:23:58	286887/286887	---M--	200	added ('OK')	image/jpeg	etag:126afa76:460a7	https://cdn.dominos.co.kr/admin/upload/goods/20200309_OYc15o87.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_OYc15o87.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD120M1&dough_gb=)
20:23:58	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:57%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD118M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/listfc4b.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD118M1&dough_gb=)
20:23:58	278177/278177	---M--	200	added ('OK')	image/jpeg	etag:126afadc:43ea1	https://cdn.dominos.co.kr/admin/upload/goods/20200309_e7u3F42y.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_e7u3F42y.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD118M1&dough_gb=)
20:23:58	72636/72636	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2011:23:58%20GMT	https://web.dominos.co.kr/goods/list?dsp_ctgr=C0101&return_code_01=RSD064M1&return_dsp_ctgr=C0201	C:/My%20Web%20Sites/domino/web.dominos.co.kr/goods/list3601.html	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD064M1&dough_gb=)
20:23:59	285378/285378	---M--	200	added ('OK')	image/jpeg	etag:126afb8c:45ac2	https://cdn.dominos.co.kr/admin/upload/goods/20200309_2yfnnwuk.jpg	C:/My%20Web%20Sites/domino/cdn.dominos.co.kr/admin/upload/goods/20200309_2yfnnwuk.jpg	(from https://web.dominos.co.kr/goods/detail?dsp_ctgr=C0201&code_01=RSD064M1&dough_gb=)
